,ENTREZID,SYMBOL,TAIR
19384,823626,ATCHX11,AT3G44920
19385,823626,CHX11,AT3G44920
19386,823627,ATCHX10,AT3G44930
19387,823627,CHX10,AT3G44930
19388,823628,NA,AT3G44935
19389,823629,NA,AT3G44940
19390,823630,NA,AT3G44950
19391,823631,NA,AT3G44960
19392,823632,NA,AT3G44970
19393,823633,NA,AT3G44980
19394,823634,AtXTH31,AT3G44990
19395,823634,ATXTR8,AT3G44990
19396,823634,XTH31,AT3G44990
19397,823634,XTR8,AT3G44990
19398,823635,VPS24,AT3G45000
19399,823635,VPS24.2,AT3G45000
19400,823636,scpl48,AT3G45010
19401,823637,NA,AT3G45020
19402,823638,NA,AT3G45030
19403,823639,NA,AT3G45040
19404,823640,NA,AT3G45050
19405,823641,ATNRT2.6,AT3G45060
19406,823641,NRT2.6,AT3G45060
19407,823642,AtSULT202B1,AT3G45070
19408,823642,SULT202B1,AT3G45070
19409,823643,NA,AT3G45080
19410,823644,NA,AT3G45090
19411,3769644,NA,AT3G45093
19412,823646,SETH2,AT3G45100
19413,823647,NA,AT3G45110
19414,823649,LAS1,AT3G45130
19415,823650,ATLOX2,AT3G45140
19416,823650,LOX2,AT3G45140
19417,823651,TCP16,AT3G45150
19418,823652,NA,AT3G45160
19419,823653,GATA14,AT3G45170
19420,823654,NA,AT3G45180
19421,823655,NA,AT3G45190
19422,823656,NA,AT3G45200
19423,823657,NA,AT3G45210
19424,823658,NA,AT3G45220
19425,823659,APAP1,AT3G45230
19426,823660,ATSNAK2,AT3G45240
19427,823660,GRIK1,AT3G45240
19428,5008063,NA,AT3G45243
19429,5008064,NA,AT3G45245
19430,5008065,NA,AT3G45248
19431,5008066,NA,AT3G45252
19432,823664,NA,AT3G45260
19433,5008067,NA,AT3G45275
19434,823666,ATSYP72,AT3G45280
19435,823666,SYP72,AT3G45280
19436,5008068,NA,AT3G45285
19437,823667,ATMLO3,AT3G45290
19438,823667,MLO3,AT3G45290
19439,823668,ATIVD,AT3G45300
19440,823668,IVD,AT3G45300
19441,823668,IVDH,AT3G45300
19442,823669,NA,AT3G45310
19443,823670,NA,AT3G45320
19444,823671,LecRK-I.1,AT3G45330
19445,823677,LecRK-I.2,AT3G45390
19446,823678,NA,AT3G45400
19447,823679,LecRK-I.3,AT3G45410
19448,823680,LecRK-I.4,AT3G45420
19449,823681,LecRK-I.5,AT3G45430
19450,823682,LecRK-I.6,AT3G45440
19451,823683,NA,AT3G45443
19452,823685,NA,AT3G45450
19453,823686,NA,AT3G45460
19454,823687,NA,AT3G45470
19455,823688,NA,AT3G45480
19456,823689,NA,AT3G45490
19457,823690,NA,AT3G45500
19458,823691,NA,AT3G45510
19459,823693,NA,AT3G45525
19460,823694,NA,AT3G45530
19461,823695,NA,AT3G45540
19462,823697,NA,AT3G45555
19463,823698,NA,AT3G45560
19464,823699,NA,AT3G45570
19465,3769654,NA,AT3G45577
19466,823700,NA,AT3G45580
19467,823701,ATSEN1,AT3G45590
19468,823701,SEN1,AT3G45590
19469,823702,TET3,AT3G45600
19470,823703,DOF6,AT3G45610
19471,823704,NA,AT3G45620
19472,823705,NA,AT3G45630
19473,823706,ATMAPK3,AT3G45640
19474,823706,ATMPK3,AT3G45640
19475,823706,MPK3,AT3G45640
19476,823707,AtNPF2.7,AT3G45650
19477,823707,NAXT1,AT3G45650
19478,823707,NPF2.7,AT3G45650
19479,823708,NA,AT3G45660
19480,823709,NA,AT3G45670
19481,6240250,NA,AT3G45673
19482,823710,NA,AT3G45680
19483,823711,NA,AT3G45690
19484,823712,NA,AT3G45700
19485,823713,NA,AT3G45710
19486,823714,NA,AT3G45720
19487,823715,NA,AT3G45730
19488,823716,NA,AT3G45740
19489,823717,NA,AT3G45750
19490,823719,NA,AT3G45760
19491,823720,NA,AT3G45770
19492,823721,JK224,AT3G45780
19493,823721,NPH1,AT3G45780
19494,823721,PHOT1,AT3G45780
19495,823721,RPT1,AT3G45780
19496,823722,NA,AT3G45790
19497,823723,NA,AT3G45800
19498,823724,NA,AT3G45810
19499,823725,NA,AT3G45820
19500,823726,NA,AT3G45830
19501,823727,NA,AT3G45840
19502,823728,NA,AT3G45850
19503,6241085,NA,AT3G45851
19504,823729,CRK4,AT3G45860
19505,823730,UMAMIT3,AT3G45870
19506,823731,NA,AT3G45880
19507,823732,RUS1,AT3G45890
19508,823732,WXR3,AT3G45890
19509,823733,NA,AT3G45900
19510,823734,NA,AT3G45910
19511,823735,NA,AT3G45920
19512,823736,NA,AT3G45930
19513,823737,NA,AT3G45940
19514,823738,NA,AT3G45950
19515,823739,ATEXLA3,AT3G45960
19516,823739,ATEXPL3,AT3G45960
19517,823739,ATHEXP,AT3G45960
19518,823739,EXLA3,AT3G45960
19519,823739,EXPL3,AT3G45960
19520,823740,ATEXLA1,AT3G45970
19521,823740,ATEXPL1,AT3G45970
19522,823740,ATHEXP,AT3G45970
19523,823740,EXLA1,AT3G45970
19524,823740,EXPL1,AT3G45970
19525,823741,H2B,AT3G45980
19526,823741,HTB9,AT3G45980
19527,823742,NA,AT3G45990
19528,823743,ADF2,AT3G46000
19529,823744,ADF1,AT3G46010
19530,823744,atadf,AT3G46010
19531,823744,ATADF1,AT3G46010
19532,823745,NA,AT3G46020
19533,823746,HTB11,AT3G46030
19534,823747,RPS15AD,AT3G46040
19535,823748,NA,AT3G46050
19536,823749,ARA-3,AT3G46060
19537,823749,ARA3,AT3G46060
19538,823749,ATRAB8A,AT3G46060
19539,823749,ATRABE1C,AT3G46060
19540,823749,RAB8A,AT3G46060
19541,823749,RABE1c,AT3G46060
19542,823750,NA,AT3G46070
19543,823751,NA,AT3G46080
19544,6240690,NA,AT3G46086
19545,823752,ZAT7,AT3G46090
19546,823753,ATHRS1,AT3G46100
19547,823753,HRS1,AT3G46100
19548,823754,NA,AT3G46110
19549,823755,ATPAP19,AT3G46120
19550,823755,PAP19,AT3G46120
19551,823756,ATMYB48,AT3G46130
19552,823756,ATMYB48-1,AT3G46130
19553,823756,ATMYB48-2,AT3G46130
19554,823756,ATMYB48-3,AT3G46130
19555,823756,MYB48,AT3G46130
19556,823757,NA,AT3G46140
19557,823758,NA,AT3G46150
19558,823759,NA,AT3G46160
19559,823760,NA,AT3G46170
19560,823761,ATUTR5,AT3G46180
19561,823761,UTR5,AT3G46180
19562,823764,NA,AT3G46190
19563,823765,aTNUDT9,AT3G46200
19564,823765,NUDT9,AT3G46200
19565,823766,NA,AT3G46210
19566,823767,NA,AT3G46220
19567,823768,ATHSP17.4,AT3G46230
19568,823768,HSP17.4,AT3G46230
19569,823769,NA,AT3G46240
19570,823771,NA,AT3G46260
19571,823772,NA,AT3G46270
19572,823773,NA,AT3G46280
19573,823774,HERK1,AT3G46290
19574,823775,NA,AT3G46300
19575,823776,NA,AT3G46310
19576,823777,NA,AT3G46320
19577,823778,MEE39,AT3G46330
19578,823779,NA,AT3G46340
19579,823781,NA,AT3G46350
19580,823782,NA,AT3G46360
19581,823783,NA,AT3G46370
19582,823785,NA,AT3G46380
19583,823789,NA,AT3G46390
19584,823790,NA,AT3G46400
19585,823791,NA,AT3G46410
19586,823792,NA,AT3G46420
19587,823793,NA,AT3G46430
19588,823794,UXS5,AT3G46440
19589,823795,NA,AT3G46450
19590,823796,UBC13,AT3G46460
19591,823797,NA,AT3G46470
19592,823798,NA,AT3G46480
19593,823802,NA,AT3G46490
19594,823803,NA,AT3G46500
19595,823804,ATPUB13,AT3G46510
19596,823804,PUB13,AT3G46510
19597,823805,ACT12,AT3G46520
19598,823806,RPP13,AT3G46530
19599,823807,NA,AT3G46540
19600,823808,FLA4,AT3G46550
19601,823808,SOS5,AT3G46550
19602,823809,emb2474,AT3G46560
19603,823809,TIM9,AT3G46560
19604,823810,NA,AT3G46570
19605,823811,ATMBD5,AT3G46580
19606,823811,MBD05,AT3G46580
19607,823811,MBD5,AT3G46580
19608,823812,ATTRP2,AT3G46590
19609,823812,TRFL1,AT3G46590
19610,823812,TRP2,AT3G46590
19611,823813,NA,AT3G46600
19612,823814,NA,AT3G46610
19613,5008070,DVL15,AT3G46613
19614,5008070,RTFL4,AT3G46613
19615,7922443,NA,AT3G46616
19616,823815,AtRDUF1,AT3G46620
19617,823815,RDUF1,AT3G46620
19618,823816,NA,AT3G46630
19619,823817,LUX,AT3G46640
19620,823817,PCL1,AT3G46640
19621,823818,NA,AT3G46650
19622,823819,UGT76E12,AT3G46660
19623,6240545,NA,AT3G46666
19624,823820,UGT76E11,AT3G46670
19625,823821,NA,AT3G46680
19626,823822,NA,AT3G46690
19627,823823,NA,AT3G46700
19628,823824,NA,AT3G46710
19629,823825,NA,AT3G46720
19630,823826,NA,AT3G46730
19631,823827,1-Mar,AT3G46740
19632,823827,TOC75-III,AT3G46740
19633,823828,NA,AT3G46750
19634,823829,LecRK-S.3,AT3G46760
19635,823830,NA,AT3G46770
19636,823831,PTAC16,AT3G46780
19637,823832,CRR2,AT3G46790
19638,823833,NA,AT3G46800
19639,823834,NA,AT3G46810
19640,823835,TOPP5,AT3G46820
19641,823836,ATRAB-A2C,AT3G46830
19642,823836,ATRAB11A,AT3G46830
19643,823836,ATRABA2C,AT3G46830
19644,823836,RAB-A2C,AT3G46830
19645,823836,RABA2c,AT3G46830
19646,823837,NA,AT3G46840
19647,823838,NA,AT3G46850
19648,823839,NA,AT3G46860
19649,823840,NA,AT3G46870
19650,823841,NA,AT3G46880
19651,823842,NA,AT3G46890
19652,823843,COPT2,AT3G46900
19653,823844,NA,AT3G46910
19654,823845,NA,AT3G46920
19655,823846,NA,AT3G46930
19656,823847,DUT1,AT3G46940
19657,823848,NA,AT3G46950
19658,823849,NA,AT3G46960
19659,823850,ATPHS2,AT3G46970
19660,823850,PHS2,AT3G46970
19661,823851,PHT4;3,AT3G46980
19662,823852,NA,AT3G46990
19663,823853,NA,AT3G47000
19664,823854,NA,AT3G47010
19665,823855,NA,AT3G47020
19666,823856,NA,AT3G47030
19667,823857,NA,AT3G47040
19668,823858,NA,AT3G47050
19669,823859,ftsh7,AT3G47060
19670,823860,NA,AT3G47070
19671,823861,NA,AT3G47080
19672,823862,NA,AT3G47090
19673,823863,NA,AT3G47100
19674,823864,NA,AT3G47110
19675,823865,NA,AT3G47120
19676,823866,NA,AT3G47130
19677,823867,NA,AT3G47140
19678,823868,NA,AT3G47150
19679,823869,NA,AT3G47160
19680,823870,NA,AT3G47170
19681,823871,NA,AT3G47180
19682,823872,NA,AT3G47190
19683,823873,NA,AT3G47200
19684,823874,NA,AT3G47210
19685,823875,ATPLC9,AT3G47220
19686,823875,PLC9,AT3G47220
19687,823878,NA,AT3G47250
19688,823882,ATPLC8,AT3G47290
19689,823882,PLC8,AT3G47290
19690,823883,NA,AT3G47295
19691,823884,SELT,AT3G47300
19692,823888,ASN1,AT3G47340
19693,823888,AT-ASN1,AT3G47340
19694,823888,DIN6,AT3G47340
