GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G64390,63.39017811,1.871084144,0.32617976,5.736358824,9.67E-09,2.78E-07
AT5G06690,39.42933215,1.955308375,0.340982484,5.734336712,9.79E-09,2.81E-07
AT5G50100,89.60250101,1.287101617,0.224488118,5.733495521,9.84E-09,2.82E-07
AT1G27030,51.69188132,1.611209734,0.281259554,5.728551126,1.01E-08,2.90E-07
AT2G16890,23.76250524,3.718938518,0.649243779,5.728108056,1.02E-08,2.90E-07
AT3G11420,41.89995142,1.870233911,0.326661571,5.725295162,1.03E-08,2.94E-07
AT1G68530,270.4690536,1.21027812,0.211577905,5.720248147,1.06E-08,3.02E-07
AT1G78610,33.56358359,2.204395117,0.385431331,5.719294045,1.07E-08,3.03E-07
AT5G43260,54.32452755,2.194510275,0.38446808,5.707912804,1.14E-08,3.23E-07
AT4G18810,57.73698664,1.449765196,0.254206198,5.703107197,1.18E-08,3.31E-07
AT4G05100,31.59277399,3.351402255,0.587772283,5.701871886,1.18E-08,3.33E-07
AT2G21590,20.89266874,3.801913057,0.666889535,5.700963739,1.19E-08,3.34E-07
AT4G02890,182.1375689,1.123094337,0.198105869,5.669162355,1.43E-08,3.99E-07
AT1G23800,29.79954221,2.507607908,0.442532357,5.666496181,1.46E-08,4.04E-07
AT4G32340,52.61973714,1.844850182,0.326065304,5.657916247,1.53E-08,4.25E-07
AT3G14595,101.9880686,1.931983598,0.341652537,5.654819997,1.56E-08,4.32E-07
AT1G07050,29.56646401,6.840688086,1.210945638,5.649046393,1.61E-08,4.46E-07
AT2G35300,27.29176518,6.872246445,1.218094795,5.641799368,1.68E-08,4.64E-07
AT2G22450,24.0250044,2.818336381,0.499777653,5.639180471,1.71E-08,4.71E-07
AT2G18150,37.18002528,1.884928506,0.334683257,5.631977307,1.78E-08,4.89E-07
AT1G70420,21.86275757,3.362810789,0.597606329,5.627133829,1.83E-08,5.02E-07
AT3G53980,105.6739445,1.748805496,0.310834057,5.62617081,1.84E-08,5.05E-07
AT1G63420,31.9631571,2.186919061,0.388914908,5.623129934,1.88E-08,5.13E-07
AT5G26260,114.2947261,1.241391776,0.22088384,5.620111346,1.91E-08,5.18E-07
AT4G34650,22.6398107,2.81918949,0.501867174,5.617401648,1.94E-08,5.26E-07
AT5G10930,24.57651263,2.798950637,0.498629163,5.613291082,1.99E-08,5.37E-07
AT1G28140,102.7453282,1.312241917,0.234063022,5.606361518,2.07E-08,5.58E-07
AT1G08650,50.45938497,1.631250137,0.291395964,5.598053292,2.17E-08,5.84E-07
AT4G29110,23.99607342,2.633931408,0.470921311,5.593145495,2.23E-08,5.98E-07
AT4G01985,20.69154472,7.080894053,1.26692695,5.589031042,2.28E-08,6.10E-07
AT1G71000,35.50823549,6.742716799,1.206519609,5.588567933,2.29E-08,6.11E-07
AT2G30550,35.94224763,2.270560971,0.406924409,5.579810212,2.41E-08,6.41E-07
AT5G45630,60.35518265,2.883510244,0.517061591,5.576724884,2.45E-08,6.51E-07
AT1G22370,27.02151146,3.224228683,0.57845558,5.573856995,2.49E-08,6.60E-07
AT3G15790,39.13490726,1.884134015,0.338110446,5.572540089,2.51E-08,6.64E-07
AT1G20260,123.1397758,1.057860207,0.190958115,5.539749936,3.03E-08,7.94E-07
AT4G04340,41.88256314,1.495056863,0.270572067,5.525540312,3.28E-08,8.57E-07
AT3G04550,112.9835937,1.278230642,0.231642001,5.518129847,3.43E-08,8.90E-07
AT5G04250,22.61731617,3.652688628,0.662901996,5.510148788,3.59E-08,9.29E-07
AT4G14230,27.52640293,2.006552891,0.365878137,5.484210959,4.15E-08,1.07E-06
AT1G67300,32.47792684,3.175374399,0.579433013,5.480140632,4.25E-08,1.10E-06
AT4G27800,128.1345298,1.417830379,0.259164663,5.470770449,4.48E-08,1.15E-06
AT4G08570,20.76755549,3.990822764,0.730162456,5.465664154,4.61E-08,1.18E-06
AT3G12490,166.7645019,1.491159413,0.272875753,5.46460942,4.64E-08,1.19E-06
AT5G64860,34.73473574,2.427983494,0.444397569,5.4635391,4.67E-08,1.19E-06
AT3G62750,74.44180367,1.89360251,0.346659417,5.462429167,4.70E-08,1.20E-06
AT2G38530,278.7164407,1.213865342,0.222559653,5.454112316,4.92E-08,1.25E-06
AT5G08410,169.6864223,1.87377037,0.343961108,5.447622789,5.10E-08,1.30E-06
AT5G55180,63.47292358,1.350824382,0.248515038,5.435584081,5.46E-08,1.38E-06
AT5G02230,33.35043011,1.799244966,0.331530182,5.427092501,5.73E-08,1.45E-06
AT4G40010,30.37761069,2.805586091,0.519304867,5.402580005,6.57E-08,1.65E-06
AT5G47020,34.03215783,2.06749962,0.383095375,5.396827408,6.78E-08,1.70E-06
AT1G64660,48.56544567,1.953683896,0.362047359,5.396210883,6.81E-08,1.70E-06
AT5G66760,127.0135283,1.036196919,0.192171778,5.392034816,6.97E-08,1.73E-06
AT3G54820,29.68179517,2.108410857,0.39102309,5.392036712,6.97E-08,1.73E-06
AT4G39800,168.7157109,1.277078789,0.237282562,5.382101317,7.36E-08,1.83E-06
AT1G54570,22.54572968,3.201651937,0.596030689,5.371622631,7.80E-08,1.93E-06
AT5G42650,164.6245579,2.033706099,0.37921769,5.362898813,8.19E-08,2.01E-06
AT2G23840,50.26036201,1.410406914,0.26327485,5.357165393,8.45E-08,2.08E-06
AT1G02930,213.1423663,1.565170523,0.292685852,5.347612505,8.91E-08,2.18E-06
AT2G41900,41.61433834,1.60096202,0.299743871,5.341100107,9.24E-08,2.26E-06
AT5G53420,54.96103616,1.532272503,0.286923,5.340361356,9.28E-08,2.26E-06
AT4G11220,61.80246008,1.405851593,0.263266528,5.340031663,9.29E-08,2.27E-06
AT5G53710,18.53485326,6.623391383,1.241024229,5.337036317,9.45E-08,2.30E-06
AT4G37760,60.70088301,1.280285133,0.240042039,5.333587149,9.63E-08,2.34E-06
AT2G38670,48.12530284,1.485816608,0.278822903,5.328890112,9.88E-08,2.39E-06
AT3G22620,95.47753367,1.553419605,0.291552341,5.328098552,9.92E-08,2.39E-06
AT1G68600,18.46966377,2.917337544,0.547806917,5.325485041,1.01E-07,2.42E-06
AT4G14090,22.54381588,4.009746075,0.752989576,5.325101702,1.01E-07,2.43E-06
AT2G22240,47.50651558,1.771631072,0.332819006,5.323106674,1.02E-07,2.45E-06
AT1G78995,37.22159478,1.700105158,0.320055702,5.311903987,1.08E-07,2.59E-06
AT5G04340,60.35978181,1.605824242,0.302870118,5.302022705,1.15E-07,2.72E-06
AT3G49570,28.73677629,2.136002606,0.402903489,5.301524225,1.15E-07,2.73E-06
AT5G44005,24.95503609,2.746400343,0.518142179,5.300476307,1.16E-07,2.74E-06
AT1G76960,41.65102766,3.401615824,0.642084985,5.297765724,1.17E-07,2.77E-06
AT1G60590,21.4021989,2.494678588,0.470930048,5.297344266,1.17E-07,2.78E-06
AT1G09350,12.8212521,4.26652666,0.808163998,5.279283256,1.30E-07,3.06E-06
AT1G33970,40.64270497,1.519129974,0.28776575,5.279050661,1.30E-07,3.06E-06
AT4G18422,10.38794082,6.646431589,1.262405722,5.264893427,1.40E-07,3.29E-06
AT4G18270,15.14554193,3.44648349,0.654749326,5.263821364,1.41E-07,3.30E-06
AT4G26530,325.9021461,1.423975389,0.27070455,5.26025657,1.44E-07,3.36E-06
AT1G19970,25.10384638,2.442527684,0.464712213,5.256000626,1.47E-07,3.43E-06
AT3G55880,58.15688026,2.084390709,0.396681993,5.254563466,1.48E-07,3.45E-06
AT5G62040,21.47773824,4.679414132,0.890917368,5.25235482,1.50E-07,3.48E-06
