"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G48965",2.46868001440559,-0.0200163324164689,0.982722284384564,-0.0203682492343239,0.983749612034213,0.992209272456682
"AT5G49000",2.99982337058519,-0.171336279849376,0.878572360762394,-0.195016696974961,0.845379876280851,0.992209272456682
"AT5G49060",6.88810974753715,0.0530567359847452,0.602283855500353,0.0880925754529279,0.929803097369269,0.992209272456682
"AT5G49160",8.04020750636045,-0.142130389414196,0.536201453646787,-0.265069011744645,0.790956298759644,0.992209272456682
"AT5G49210",21.5004550455311,0.103457690289032,0.340410704839606,0.303920202326712,0.761188686130919,0.992209272456682
"AT5G49215",3.14078913075549,-0.318329114504419,0.767359145457565,-0.414837193755739,0.678261089771511,0.992209272456682
"AT5G49280",42.6849618861886,0.112114755178509,0.297554998537505,0.376786663741353,0.706332152369109,0.992209272456682
"AT5G49300",4.56738070213675,0.13622142977767,0.670354884029784,0.203207932131091,0.838972513236092,0.992209272456682
"AT5G49410",3.84333242111435,0.173816741488743,0.899855173602718,0.193160795856559,0.84683304085715,0.992209272456682
"AT5G49430",3.44159637915932,0.109503118293764,0.80970992388798,0.135237465990244,0.892424125601803,0.992209272456682
"AT5G49510",32.2196462528265,-0.00878713795215442,0.295457116713276,-0.0297408234734851,0.976273753886176,0.992209272456682
"AT5G49520",5.87580649805182,-0.150172780347466,0.609447725351658,-0.246407975779734,0.805366432771194,0.992209272456682
"AT5G49570",10.0436991812239,0.0901786628839171,0.523255514069185,0.172341543393642,0.863169026023327,0.992209272456682
"AT5G49580",10.4442658686798,-0.170716419648992,0.474970511213879,-0.359425302452342,0.719276949017228,0.992209272456682
"AT5G49610",2.51361726042399,0.3963696049539,0.979075793010977,0.404840572898789,0.685594703130968,0.992209272456682
"AT5G49650",25.7828686658136,0.0558116281769547,0.340149287931033,0.16407980306656,0.869668321138566,0.992209272456682
"AT5G49665",7.72548403660761,0.134883370022833,0.621815562296081,0.216918614138202,0.828271770982088,0.992209272456682
"AT5G49820",22.3371016991011,0.0875506146360933,0.31936780308944,0.274137260516441,0.783979140478565,0.992209272456682
"AT5G49830",14.5380575619898,-0.137619647270476,0.414285241219327,-0.332185734798161,0.739749014742098,0.992209272456682
"AT5G49840",10.9212698465061,0.166625284998509,0.509354915666847,0.32713002245274,0.743569545294873,0.992209272456682
"AT5G49880",9.83446655609754,-0.0788794431903854,0.525118761155532,-0.150212578611379,0.880596902197944,0.992209272456682
"AT5G49890",16.7217099372286,0.041559691469048,0.396669771563597,0.104771511338582,0.91655711626353,0.992209272456682
"AT5G49910",92.3217818236246,0.077624176981978,0.190813649448189,0.406806207032139,0.684150327544053,0.992209272456682
"AT5G49930",8.57261848608912,0.170084828133454,0.554735257326891,0.306605404807049,0.759143739233574,0.992209272456682
"AT5G49980",19.5544559687153,-0.0799434859604477,0.357143206335108,-0.223841541830804,0.822880604297037,0.992209272456682
"AT5G49990",11.6700002244373,-0.172182701017618,0.545461179302575,-0.315664446070699,0.752257215762088,0.992209272456682
"AT5G50020",10.4858024206025,0.0212742055214523,0.492833562473641,0.043167119979963,0.965568315100626,0.992209272456682
"AT5G50090",3.85246470543203,-0.290157175630519,0.787745977486382,-0.368338504953566,0.712620844805689,0.992209272456682
"AT5G50150",11.1285068156489,-0.162798691952001,0.465897511075864,-0.349430267562626,0.726766313453767,0.992209272456682
"AT5G50180",17.800726696435,-0.0304253346427652,0.389439139422472,-0.0781260319337321,0.937727799988367,0.992209272456682
"AT5G50210",10.3048552691176,0.19853026726141,0.474448989809827,0.418443861248364,0.675622623610701,0.992209272456682
"AT5G50260",1.64118563896291,0.558973999052943,1.51721239114273,0.368421720199594,0.712558804313604,0.992209272456682
"AT5G50280",11.0637940944893,0.159302086264343,0.53071178327672,0.300166853806751,0.764049886790289,0.992209272456682
"AT5G50315",2.46421360109943,0.459321511694835,1.05390517020294,0.43582812256855,0.662961438159566,0.992209272456682
"AT5G50330",3.85487907924614,-0.0380559432915489,0.81554923414413,-0.0466629624531329,0.962781849852794,0.992209272456682
"AT5G50390",2.7041496815193,0.337113284841766,0.923696584056446,0.364961060439697,0.715140473549861,0.992209272456682
"AT5G50400",8.75260864182208,-0.0284900986165976,0.543567330891716,-0.0524131915173415,0.958199463254403,0.992209272456682
"AT5G50410",11.7787706652447,0.0958874142358463,0.45437697760905,0.211030529628525,0.832863448567954,0.992209272456682
"AT5G50420",4.97804164759952,-0.116312342625755,0.658707183049153,-0.176576703000786,0.85984089482438,0.992209272456682
"AT5G50430",27.0707332151014,-0.0500147831390555,0.320993518641225,-0.155812439300238,0.876180865240884,0.992209272456682
"AT5G50450",13.4513785521523,0.247214559930307,0.603157109963804,0.409867604719346,0.68190307050263,0.992209272456682
"AT5G50820",2.98064263624695,0.0909771897992717,0.826968981842802,0.11001282006556,0.912399207688372,0.992209272456682
"AT5G50870",33.4218660859725,0.0419305172987453,0.284746961068903,0.147255363644071,0.882930462971344,0.992209272456682
"AT5G50890",2.93410744943375,-0.266105247747717,0.825038332472909,-0.322536829228422,0.747046041529779,0.992209272456682
"AT5G50930",2.28054381442039,-0.0383778759200556,1.05966354036633,-0.0362170391431873,0.971109299630738,0.992209272456682
"AT5G51010",71.5337925595913,0.0653849078996782,0.41493880387925,0.15757723136134,0.874789946134699,0.992209272456682
"AT5G51060",3.3742489492553,-0.0257388232401922,0.851288484519105,-0.0302351361591977,0.975879526729994,0.992209272456682
"AT5G51080",1.98974052747351,-0.226072259730138,1.00002110572485,-0.226067488411929,0.821148930524637,0.992209272456682
"AT5G51130",4.81398618624807,0.295775081697811,0.716817665339304,0.412622478490128,0.679883229562467,0.992209272456682
