GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT5G65730,20.87372293,-3.511670473,0.542856457,-6.468874834,9.87E-11,3.92E-09
AT2G37130,46.42481588,-2.264369914,0.350134336,-6.467146134,9.99E-11,3.96E-09
AT3G07470,35.01070362,-1.876746349,0.290391636,-6.462811319,1.03E-10,4.06E-09
AT1G25550,43.31833942,-1.584124697,0.245622296,-6.449433628,1.12E-10,4.37E-09
AT4G24230,15.42792879,-2.872767232,0.447726012,-6.416350974,1.40E-10,5.39E-09
AT5G59080,19.11588668,-2.555454213,0.398417769,-6.414006631,1.42E-10,5.47E-09
AT1G21910,11.90389329,-4.669366751,0.728329877,-6.411060288,1.45E-10,5.56E-09
AT3G27770,44.98187408,-1.694681964,0.264803776,-6.399765093,1.56E-10,5.96E-09
AT5G63160,66.93567406,-1.346436532,0.211050331,-6.379694016,1.77E-10,6.73E-09
AT5G18650,41.64170559,-1.771269629,0.277745572,-6.377310058,1.80E-10,6.82E-09
AT1G76990,23.76374575,-2.176244536,0.341620574,-6.370355604,1.89E-10,7.11E-09
